MAL_ID,Name,Score,Genres,sypnopsis
1911,Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!,7.44,"Comedy, Mecha, Shounen","This double feature comprises of Gunbuster and Die Buster (aka Gunbuster 2) condensed into a single theatrical release told in two parts with a musical intermission in between. The first part, Gunbuster the Movie, condenses the six episodes of the original OVA into a 95-minute movie featuring a new 5.1 audio remix and a redub by the original Japanese cast. The second part, Die Buster the Movie, mixes large chunks of the second OVA series with a few altered or newly-animated scenes to create a truncated take on Nono's story. (Source: ANN)"
1912,Marginal Prince: Gekkeiju no Ouji-tachi,5.91,"Romance, School, Shounen Ai","""Marginal Prince"" based off of the hit love simulation game series for girls! Yuta studies abroad in a tiny, far away island in the pacific ocean name Alphonso where he enters the all-dorm, all-male Alphonso Gakuen. However, the school is really a place for the children of the famous . . . and the school specializes in classes on empires and alchemy! And one day, after studying enough at the school, the students become known as ""Marginal Princes""! Learn about the stories of fate and trial as each of the students studies to become kings! (Source: Crunchyroll)"
1913,Shonan Junai Gumi!,7.48,"Action, Comedy, School","Eikichi Onizuka and Ryuji Danma are members of infamous biker duo, the Oni Baku. When not out riding around, they can be found in school, trying to pick up young women. This is the story of the young Onizuka, who would later become the greatest teacher in Japan, and his partner Ryuji in their quest to lose their virginity and reach maturity. They are widely feared bosozoku, and are known for their tenacity and viciousness in a fight. However, this lifestyle does not exactly endear them to the opposite gender, so they decide to change their ways. However, this is easier said than done. (Source: ANN)"
1914,Saiunkoku Monogatari 2nd Season,8.07,"Adventure, Comedy, Drama, Fantasy, Historical, Romance","Shuurei Kou and her friend Eigetsu To, a boy prodigy of humble origins, have been appointed co-governors of the Sa province, one of the eight provinces in Saiunkoku. Together, they decide to make the province an academic research center in the hopes of bringing a long overdue prosperity to the region. However, while Shuurei goes to the capital to obtain approvals for the ambitious project, the Sa province's recently established tranquility is threatened by a pandemic that brings both death and turmoil as it begins to spread among the people. Counting on Eigetsu to monitor the situation until her return, Shuurei seeks support from her allies to find a suitable treatment. Yet, Eigetsu's past personal conflicts distract him, providing an opportunity for opponents of Shuurei's position to take advantage of the troubles and undermine her authority. Becoming a government official has been Shuurei's lifelong dream, but it is no easy task for the first woman undertaking such a position. Will she step up and overcome this great challenge or give in to the looming adversities?"
1915,Mahou Shoujo Lyrical Nanoha StrikerS,7.65,"Action, Magic, Comedy, Super Power, Drama","Set 10 years after Mahou Shoujo Lyrical Nanoha A's, Nanoha, Fate, Hayate and the rest of the crew are now working full time in the Time-Space Administration Bureau. Nanoha is a combat instructor, Fate is a special investigator, and Hayate is a commanding officer. They must unite once again to save the dimensions. Introducing new characters as well: Subaru, Teana, Caro and Erio. Stand by. Ready. Set up!"
1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,6.85,"Mecha, Military, Sci-Fi, Space","utenant Oliver May and the 603 Technical Division Unit aboard the Jotunheim continue testing and evaluating experimental weapons to aid the Zeon war effort against the Federation Forces. At the end of each experiment, the tale of the trials and tribulations faced by the weapon and its test pilot adds a small chapter to the long history of the One Year War (Source: ANN)"
1917,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,6.69,"Mecha, Military, Sci-Fi, Space","The year is Universal Century 0079. Oliver May is a technical officer in the Zeon 603rd Technical Evaluation Unit , in charge of testing new military technology. Stationed in the Jotunheim, a civilian transport ship that was converted into military use, Oliver must head into battle and experience the One Year War, only this time from the perspective of a weapon tester who struggles to make an impact on an evolving war during changing times. (Source: ANN)"
1918,Mahou Shoujo Pretty Sammy,6.4,"Comedy, Parody, Magic, Fantasy","Sasami's always been kind of neat... but now she's been imbibed with a healthy dose of magic (which she plans to use to right the things wrong with the Earth, and, of course, help keep her brother Tenchi out of trouble). Naturally, there's going to be trouble: this time, it's the mysterious Pixy Misa... and Ryoko going at it against Ayeka (as usual) isn't making things any easier for her! (Source: AnimeNfo)"
1919,Urusei Yatsura OVA,7.39,"Sci-Fi, Adventure, Comedy","The adventures of Lum, Ataru, Ten, and all the gang from Tomobiki continue in an assortment of new – but no less weird – stories. Watch as Lum, Ataru, and Shinobu encounter a rabbit-clad youth, enter the Room of Destiny, and get a glimpse into their futures in ""Inaba the Dreammaker,"" or see Ran's plans to use a sherbet cone-producing bird to open a sherbet shop one hot Tokyo summer go terribly awry in “Raging Sherbet.” Ataru has yet another bad experience with Lum's cooking in ""I Howl at the Moon"". (Source: ANN)"
1920,Urusei Yatsura Movie 1: Only You,7.08,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi","um doesn't need much assistance going ballistic when everyone in Tomobiki gets an invitation to Ataru's wedding -- and she's not listed as the bride! It seems that some 11 years ago, Ataru played ""Shadow Tag"" with a young girl named Elle and won. Unfortunately, Elle was yet another Alien Princess; and on her planet, if a boy steps on a girl's shadow, they have to marry. When Elle's emissary comes to make arrangements, Lum redefines the term ""the atmosphere was electric,"" but to no avail: a force-field now protects Ataru from her high voltage love-zaps. Lum's friend Benten suggests a pre-emptive wedding, and they proceed to abduct Ataru and all of the wedding guests, and the stage is set for the shotgun wedding of all time! (Source: AniDB)"
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,7.83,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi","Not all is normal in Tomobiki, even by its standards. The students have been preparing feverishly for the first day of the student fair, which is scheduled to go on the next day. However, problems arise when some begin to notice that the next day simply will not come. As the students begin to try to find the reason for the problem, their beliefs about reality and the world of dreams are challenged. (Source: ANN)"
1922,Urusei Yatsura Movie 3: Remember My Love,6.98,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance","It seems that when Lum was born, a postal screwup resulted in a witchy friend of the family not getting an invitation to the celebration. The witch put a curse on Lum, that she would never be happy with her True Love. In the present, a new Amusement Park has been built in Tomobiki, and opening day finds the whole gang sampling its pleasures. At a magic show, however, Ataru gets turned into a large pink hippo-potamus, FOR REAL! When Lum attempts to track down the magician that transformed her Darling, things start to get very weird, very fast! (Source: AniDB)"
1923,Urusei Yatsura Movie 4: Lum The Forever,6.77,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance","Strange things begin happening in Tomobiki Town... When a great cherry tree, ""Tarozakura"" is cut down while Lum & Co. are making a movie, Lum loses her horns-and her powers! Thus begins the strangest and most lyrical of the Urusei Yatsura movies... (Source: AniDB)"
1924,Urusei Yatsura Movie 5: Kanketsu-hen,7.46,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi","The Urusei Yatsura story comes to a climax in this animated retelling of the final Manga story (although not the final movie). Lupa, yet another one of Lum's fiancés, arrives on the scene, and Lum and Ataru have to repeat their game of tag in order to prevent the Earth from being destroyed. All Ataru has to do to win is say ""I love you"" the three words he has steadfastly refused to say to Lum. Will he admit his true feelings and save the Earth? Or will his pride doom it to destruction? (Source: AniDB)"
1925,Urusei Yatsura Movie 6: Itsudatte My Darling,6.84,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance","upica, another one of the legion of space princesses that all seem to have found out about Earth in some tour book, appears and abducts Ataru! But Lupica isn't after Ataru for his great looks or charming personality (because he doesn't have either). Lupica's goal is the greatest love potion in the galaxy, which she intends to use to induce her sweetheart to tie the knot. To get it, she needs the possessor of the greatest lust in the universe... (Source: AniDB)"
1926,Jishu Seisaku Movie Binchou-tan,6.06,"Slice of Life, Music","Binchou-tan wakes up in her tattered wooden hut only to discover that her water barrel is almost empty. She decides to go to the nearby stream, only to find the fast-flowing water to be brown. Walking the path to town, past green fields, Binchou-tan finally reaches an old water pump on the central marketplace, and fills her wooden bucket. On the way home it starts to rain, so she lets the rain fill the bucket to the rim, preparing herself for the next work day. (Source: AniDB)"
1927,Gakuen Tokusou Hikaruon,5.59,"Action, Super Power, Martial Arts, School","Hikaru is at first sight a student like others but actually it is a super hero defending the Earth of the demons. He has a powerful super bike and a combat suit. Inspired by the classic Space Sheriff (Uchuu Keiji) trilogy of the Metal Heroes Tokusatsu franchise, namely Space Sheriff's Gavan and Sharivan. (Source: AniDB)"
1928,Early Reins,5.92,"Action, Adventure, Seinen","Early Reins features six beautiful women on a train en route to Sunshine Hill in the early 1800s. When the train is highjacked by robbers and the soldiers on board are caught unawares, another surprise is in store: these lovely ladies can fight! The heroine emerges as Margarette, a young woman determined to become a sheriff although she is somewhat lacking in experience. She gains plenty on this trip, however, and the ragtag team of Western warriors joins forces with another passenger, Spencer, to fight some nefarious bandits and guide the train to safety. (Source: AniDB)"
1929,Futari wa Precure: Max Heart,6.94,"Action, Comedy, Fantasy, Magic, Shoujo","Shortly after the fall of the Wicked King, the Queen of the Garden of Light lost her memory and came to Earth, in the form of a 12-year-old girl named Hikari Kujou. Now, she—with the help of Nagisa and Honoka, endowed with new costumes and powers—must find the 12 Heartiels, which hold the key to restoring the Queen's lost memories. For together once again, they are Pretty Cure. (Source: AniDB)"
1930,Futari wa Precure: Max Heart Movie 1,6.79,"Fantasy, Magic, Comedy, Shoujo","The Courageous Warriors of the Garden of Hope have summoned Nagisa, Honoka, and Hikari to protect their kingdom from a witch who plans to steal the Diamond Line, which is a set of jewelry the queen of the Garden of Hope wears to a ceremony every year to replenish the water of the kingdom. The witch plans to resurrect the Dark Lord and if she does so, not only will the Garden of Hope be destroyed, but other kingdoms in the galaxies, including the Garden of Rainbows and the Garden of Light. (Source: ANN)"
1931,Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,7.09,"Fantasy, Magic, Comedy, Shoujo","On his way to visit the Queen of the Garden of Light, the Sage of the Garden of Clouds accidentally drops the egg of the Houhou. The egg lands in the Garden of Rainbows, where it is found by Hikari, attracting the attention of a powerful pair of servants of the Dark Lord. (Source: AniDB)"
1932,Yes! Precure 5,7.14,"Action, Fantasy, Magic, School, Shoujo","Yumehara Nozomi, a regular student, finds a magical book called the Dream Collet in the library and meets Coco and Nuts, two creatures from the Palmier Kingdom. They plead with Nozomi to restore their world, which has been destroyed by an organization called the Nightmares, by completing the Dream Collet and finding the 55 Pinkies to make any wish come true. Meanwhile, the Nightmares are moving into the real world. Once Nozomi agrees to help, Coco and Nuts transform her into the magical girl Cure Dream and turn four fellow students into her Pretty Cure team. (Source: ANN)"
1933,Growlanser IV: Wayfarer of the Time,5.68,Action,"promotional ova that came with the PS2 game, Growlanser IV Returns which is an add-on featuring a compilation of three short stories that is told in visual novel style. Since it is a promotional ova, various main characters from Growlanser I, Growlanser II, and Growlanser III do appear in the ED. Actually, some of the fairies of these main characters do appear in Growlanser IV as that the entire Growlanser story is based on anti-war featuring time freeze, time traveling, and parallel worlds."
1935,Megazone 23,6.81,"Action, Sci-Fi, Music, Mystery, Romance, Mecha","Shougo Yahagi is a young motorcycle enthusiast living in a world of hot bikes, hard rock, and J-pop idols. The general populace go about their lives in peace, under the watchful eyes of a computer program in the guise of pop idol sensation Eve, unbeknownst to them. Shougo himself is mostly concerned with riding his motorcycle and picking up beautiful women like Yui Takanaka, who aspires to be a dancer. Shougo's life suddenly changes when his friend, Shinji Nakagawa, shows him a top-secret project: the ""Garland,"" an advanced motorcycle that can transform into a robot. Ambushed by the military, Shougo hijacks the Garland and escapes into the city. Evading the military with the help of Yui and her friends, he gradually discovers that their idyllic society is only an illusion."
1936,Misute♡naide Daisy,5.65,"Sci-Fi, Comedy, Romance, Shounen","The story begins when an innocent, but busty, young schoolgirl goes to recover her hat from what she thought was an abandoned house. But within that house, spying on her, is a deranged madman. Seeing her he becomes obsessed with controlling her, owning her, bending her to his every whim. He, and his array of high tech tools, will threaten her with death, mutilation, control, humiliation and the loss of her own will and identity. Terrors biological, chemical and nuclear will come into play in the nightmare that is her new, controlled, life. (Source: AniDB)"
1937,Nakoruru: Ano Hito kara no Okurimono,5.53,"Fantasy, Supernatural, Historical, Drama","Nakoruru, finally returned to her home Kamuikotan after a long, fierce battle, receives a warm welcome from dear friends and the village children. Her spirit is uplifted by her reunion with companions Manari and Yantamuu. But as the trauma of battle falls away, Rela appears and challenges Nakoruru and the shadow of misfortune creeps closer... Nakoruru is a popular Ainu girl from SNK's Samurai Spirits fighting game (PC and Dreamcast), now she has her very own OVA series. (Source: AniDB)"
1938,Shin Kaitei Gunkan,6.1,"Action, Adventure, Fantasy, Historical, Military, Sci-Fi","oments after an atomic bomb falls over Hiroshima, a secret Japanese submarine sails into battle against its American counterpart, and both are lost to history. Some fifty years later, a special UN task force sent to investigate unusual phenomena in Antarctica is threatened by a mysterious black cylinder. (Source: ANN)"
1939,SD Gundam Gaiden,5.83,"Adventure, Comedy, Fantasy, Mecha","In 1990, Bandai produced the 4 episode OVA series SD Gundam Gaiden. Directed by Tetsuro Amino (Macross 7, SD Gundam's Counterattack), this series is set in the medieval fantasy world Suda Doaka. Once again, popular Gundam characters such as Amuro Ray and Char Aznable are featured in the series, along with fantasy-styled versions of well-known mobile suits. In this series, the heroic Knight Gundam and his companions must protect Suda Doaka from the evils of Satan Gundam and Sieg Zeon. Much of the series is set in the Kingdom of Lacroa, which is featured in several SD productions, including the 2003 TV series SD Gundam Force. As is the case with all the older SD productions, SD Gundam Gaiden isn't available in the U.S. (Source: AniDB)"
1940,Outlanders,5.91,"Sci-Fi, Adventure, Comedy, Ecchi, Shounen","In the midst of a violent invasion of Earth by unknown alien forces, photojournalist Wakatsuki Tetsuya comes across a scantily-clad alien woman, cutting a swath of death through the Terran ranks with her sword. After a chaotic struggle, Tetsuya is knocked unconscious, only to awaken aboard her starship. To his surprise, she turns out to be Kahm, the invaders' princess - and she has picked Tetsuya for a starring role in her upcoming wedding. As the groom... (Source: ANN)"
1941,Moonlight Mile 1st Season: Lift Off,7.18,"Adventure, Drama, Sci-Fi, Space","fter scaling Mt. Everest, mountain climbing partners Saruwatari Gorou and ""Lostman"" Jack F. Woodbridge see the ISA Space Station, and each vows to make the trek into outerspace. When Helium 3, a new energy source, is discovered on the moon, NASA forms a new project named ""Nexus"" to harness that energy for use on earth. This is the story of the two and the paths they take to see their dream become a reality in the quest to harness the next-generation energy source. (Source: ANN)"
1942,Rocket Girls,6.91,"Adventure, Sci-Fi, Space","hen Yukari Morita decided to look for her missing father who disappeared in the South Seas, she had no idea how far her journey would take her. Just traveling to the Solomon Islands is a long way for a high school girl to go on her own, but then Yukari runs into an astronaut from the Solomon Space Association, which has been trying to build a rocket powerful enough launch a man into space. Upon meeting the petite Yukari, however, SSA director Nasuda realizes that she's small enough to go up in a less powerful rocket the SSA has already built! So he offers her a deal: if Yukari agrees to become their astronaut, the SSA will help find her missing father! Will Yukari have the right stuff to blast off in the wildest space quest ever? (Source: Sentai Filmworks)"
1943,Paprika,8.06,"Dementia, Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller","The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders. However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist."
1944,Photon,7.07,"Action, Adventure, Comedy, Drama, Ecchi, Mecha, Romance, Sci-Fi","Photon Earth is a young and gentle boy with superhuman strength and ""Baka"" (meaning ""idiot"" in Japanese) scribbled on his forehead (apparently by his troublemaking friend Aun Freya). One day, he finds himself engaged to the beautiful fugitive pilot Keyne Acqua after writing ""baka"" on her forehead. And that's the least of his worries as he must protect both Aun and Keyne from the evil Papacharino, who seeks to steal the secrets of ""Aho"" (another word for idiot) energy from Keyne's grandfather's ship. (Source: ANN)"
1946,Ashita no Nadja,7.59,"Adventure, Drama, Historical, Romance, Shoujo","This story takes place about one hundred years ago. Nadja is a bright, cheerful girl who was raised in an orphanage near London, England. Nadja was entrusted to the orphanage when she was a baby. So she thought her father and mother were dead. But before her thirteenth birthday, she found out that her mother might be alive.. Nadja sets out on a journey to find her mother! With all of Europe as the stage, Nadja's exciting adventure begins! (Source: AniDB)"
1947,Kikou Sennyo Rouran,5.82,"Action, Fantasy, Mecha","hen the secret occult society, Shiromorishuua, sends a huge monster to attack Tokyo, ASY, a peace-keeping organization in Japan, retaliates with a Gousen (metal faery). ASY's Gousen annihilates the creature after driving it into open ocean. Although successful, a surprise attack follows. A girl, floating in midair and glowing with radiance, strikes with a beam of light. This girl is ""Rouran."" She knows neither her identity, her origins, nor why whenever she senses the Gousen or Kyoushi (reanimated corpses) she transforms into an avenging angel. As Rouran worries about her mysterious existence, Tetsuya kindly watches over her in Tokyo Arcadia, a settlement of expatriates and dissidents. (Source: AniDB)"
1949,Mahou no Chocolate,5.28,"Drama, Romance","ami-chan has a crush on her school's soccer club star, Ishida-senpai, and tries against hope to work up the courage to give him chocolate for Valentine's Day. She learns from her friend Koko-chan of the mysterious Magical Chocolate. Will the magic make Mami's dream come true? (Source: AnimeNfo)"
1951,Manie-Manie: Meikyuu Monogatari,7.05,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural","anie-Manie: Meikyuu Monogatari is an anthology film composed of three short films by acclaimed directors Rintaro, Yoshiaki Kawajiri, and Katsuhiro Otomo. Labyrinth Labyrinthos While Sachi is searching for her cat, Cicerone, they both fall through a mirror and become trapped in a mysterious, mind-bending labyrinth. They follow a clown's shadow into the distance, not knowing where it will lead them. Running Man Bob Stone is a reporter working on an article about racer Zack Hugh, the ten-year reigning champion of an extremely popular and deadly automobile race. By the time the two meet, Zack's body and mind are shells of what they used to be. When the next race starts, Bob observes what happens when both man and machine are pushed to their breaking point, and what it takes to be an enduring champion. The Order to Stop Construction Salaryman Tsutomo Sugioka is dispatched into the heart of a dangerous jungle in order to halt a construction project after the foreman's mysterious disappearance. There, he discovers the deadly and uncontrollable world created by the automated construction robots. When the chief robot is resistant to his orders, Tsutomo must figure out another way to stop the project before his company's financial losses become too great."
1952,Vampire Hunter,6.63,"Action, Adventure, Supernatural, Drama, Vampire, Fantasy","The world is a dark, brooding place populated by humans, but ruled in reality by powerful beings known as the Darkstalkers, and there is constant conflict between them as they try to determine who is the most powerful of them all. Zombies, vampires, werewolves - all of them compete in contests of strength and sheer will to attain their own personal goals. All of this becomes moot when a race of Aztec robots called the Huitzil decide that humanity isn't worth saving, and start waging war on the world, while in the sky, a solar god from outer space plots the conquest of Earth. And the Darkstalkers must become unwilling allies in order to save the world. (Source: AnimeNfo)"
1953,Code Geass: Hangyaku no Lelouch Picture Drama,6.97,"Comedy, School, Slice of Life","shford Academy, the girls get into juicy talks in the bath, and later plan a gender role reversal festival, which has everyone but Lelouch Lamperouge eager. The students also attend the grand opening of the Clovis Land pool, much to the scantily clad Cornelia li Britannia's embarrassment. Events from Lelouch's past show a chapter from his royal upbringing, and how he met Suzaku Kururugi. Code Geass: Hangyaku no Lelouch Picture Drama shows that when they are away from the bloodshed and agony of war, the characters live very different and often humorous lives."
1954,Rayearth,6.89,"Action, Adventure, Fantasy","The Earth lies darkened and deserted. Despite the best efforts of the film's heroine, Hikaru, the evil-filled castle of Cephiro has taken over the world and stands in the center of a lifeless Tokyo. Before the ice-witch Alcyone can take her revenge on Hikaru, she is rescued by Lantis, a young man who seals her into a magical maze where she is challenged to prove her powers while her friends are hunted down by Cephiro's warlocks. Fleeing through the silent city, Umi and Fuu must seek out the sleeping Mashin; godlike creatures that will fuse with them to form giant warriors of awesome destructive power. But the Magic Knights are afraid, untrained and alone... will even the Mashin be enough to save them from the evil acts of Cephiro? (Source: AniDB)"
1955,Kimagure Robot,6.03,"Comedy, Fantasy, Sci-Fi","lliant, slightly crazy, and extremely eccentric scientist toils away his days in his lab, creating robots to carry out different tasks. A robot to grant three wishes, a robot to help you write your diary, a robot that intentionally misbehaves in order to keep its master from becoming bored… the robots are each built for a very specific purpose, and can’t really do much of anything else. Luckily for mankind, however, these robots are much more useful than they appear to be at first glance… most of the time, anyway. (Source: ANN)"
1956,Ikkitousen: Dragon Destiny,6.8,"Action, Super Power, Ecchi, Martial Arts, School","oosely based on the novel Romance of the Three Kingdoms , modern day Japan sees a similar struggle for power between different rival schools with the three strongest being; Kyosho Academy led by Sousou Moutoku, Nanyo Academy by Sonsaku Hakufu and Ryuubi Gentoku from Seito High School. Together these three tousei, each with their own mangatama, fight for the honor of becoming ikkitousen and fulfilling their fated destiny through battle and conquest. (Source: ANN)"
1957,Ai Tenshi Densetsu Wedding Peach DX,6.66,"Adventure, Magic, Comedy, Romance, Shoujo","The 1996–1997 anime OVAs of Ai Tenshi Densetsu Wedding Peach, also known as Ai Tenshi Densetsu Wedding Peach DX (Deluxe). These four OVAs were uniquely designed and scripted, and the art style had been changed slightly from the original series as well. Each of these OVAs feature one of the Ai Tenshi along with a season: Wedding Peach—Summer, Angel Salvia—Autumn, Angel Daisy—Winter, Angel Lily—Spring. They are, however, in no way related to each other, except for some indication of previous OVAs by Hinagiku and Yuri. These are the adventures of the four Ai Tenshi, two years after their battle with Reine Devila. (Source: AniDB)"
1958,Wish,6.58,"Music, Shoujo","The third of four animated CLAMP music videos, the others being Clover and CLAMP in Wonderland. This one is based on the manga ""Wish."" ""Wish"" is about 28-year-old Shuichiro Kudo, a doctor who stumbles across Kohaku, one of God's angels. When he inadvertently saves her life from one of the devil's servants, Kohaku decides to grant him a wish to repay him for his kindness. However, upon discovering that Shuichiro has no wish, Kohaku devotes herself to him, vowing to serve him until he has a wish that she can grant. However, both discover that there are some wishes that can't be granted by oneself. (Source: ANN)"
1959,Wild 7,6.21,"Action, Police, Drama, Shounen","lite police crime fighting team is formed using convicted criminals. Using their first hand knowledge of the criminal mindset, the Wild 7 are first sent after a gang of Bank robbers. Then in Wild Biker Knights they are sent after a huge crime syndicate that has many high powered government officials in its deep pockets. (Source: ANN)"
1960,Sore Ike! Anpanman,6.38,"Comedy, Kids, Fantasy","One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)"
1961,Arashi no Yoru ni,7.7,"Adventure, Comedy, Drama, Fantasy","story about a goat and a wolf who become friends on a stormy night, and how they overcome differences and hardships. (Source: ANN)"
1962,Chikyuu Bouei Kazoku,6.57,"Action, Sci-Fi, Comedy, Drama","The Daichis are a family in danger of tearing itself apart. Dissatisfied and money obsessed mom Seiko has served wimpy and otaku dad Mamoru with divorce papers. Daughter Nozomi who has always been saddled with all the housework, feels pained that everyone is using her. The youngest albeit most foul mouthed, Dai is forced to watch all this as everything is going to pieces. However when the Galaxy Federation recruits the Daichis to combat alien threats to the wellbeing of the Earth, it will be a chance for the family to save the world and maybe themselves. (Source: ANN)"
1964,Sakura Taisen: Ecole de Paris,6.44,"Action, Adventure, Game, Harem, Mecha, Sci-Fi","unseen evil lurks in the streets of Paris. Unless something is done, the darkness will unleash its destruction and consume all that is good. The City of Love will be lost to her people forever. All hope rests within the hearts of five young ladies. The only problem is, they don't even know it yet. But will an apprenticed nun, a reserved aristocrat, a hardened criminal, a traveling circus emcee and a Japanese girl experiencing loss set aside their unique differences and come together as one for the defense of many. The Paris Fighting Troup is born. (Source: ANN)"
1965,Sola,7.22,"Drama, Romance, Slice of Life, Supernatural","Yorito Morimiya is obsessed with the sky. He especially loves taking pictures of its array of different faces—sunrises, sunsets, clouds. On one of his early-morning excursions to photograph the sunrise, Yorito meets a strange girl engaged in an argument with a vending machine. By the time that Yorito forces the girl's tomato juice out of the machine, she's vanished without a trace. Sola follows the story of Yorito, his sister Aono, and their childhood friends Mana and Koyori Ishizuki, as well as that of a mysterious girl who appears and disappears, and who seems to harbor a dark secret. In a world where magic and the supernatural are never far below the surface and no one is who they seem to be, love and loneliness vie for supremacy beneath Yorito's sky."
1966,Ankoku Shinwa,4.21,"Demons, Fantasy, Horror, Mystery, Psychological, Supernatural","ong ago there were fierce gods of legends who shook the earth to its foundation with their power. There are now prehistoric rivals from the primitive times in Japan, that fought to protect their secrets in the present day. The God of Darkness Susanoah-oh is now sleeping in the shadows of the underworld waiting for his rebirth. However his coming hasn't gone unoticed. There are agents from the Kikuchi Clan (descendants of Japans first inhabitants) who have seen the warning signs of the spreading of darkness's bringing. These investigators are armed with ancient knowledge and artifacts who are willingly prepared to face the God of Darkness. Now they must fight the assembled spirits of hell to find the one young boy who is chosen by fate to grasp the chaotic might of the deadly Gods. (Source: ANN)"
1967,Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,7.16,"Military, Sci-Fi, Space, Drama, Mecha",Digitally remastered compilation movies for the Zeta Gundam TV series with some new footage. Part of Gundam's 25th Anniversary celebration. (Source: AniDB)
1968,Mobile Suit Zeta Gundam: A New Translation II - Lovers,7.06,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Second out of three compilation movies for the Zeta Gundam series. (Source: AniDB)
1969,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.15,"Military, Sci-Fi, Space, Drama, Mecha",Final of three remastered Zeta Gundam compilation movies. (Source: AniDB)
1972,Meitantei Holmes,7.37,"Action, Adventure, Mystery, Comedy, Police","oosely based on the ""Sherlock Holmes"" series by Sir Arthur Conan Doyle, Sherlock Hound turns all the classic characters into dogs. The canine Sherlock Holmes, his assistant Watson, and housemaid Mrs. Hudson work together to solve mysteries. The culprit is usually Professor Moriarty and his gang, who use all kinds of wacky contraptions to steal what they want. (Source: ANN)"
1973,X Densha de Ikou,5.77,"Mystery, Dementia, Supernatural","Ishihara Toru is an everyday guy with an on-and-off girlfriend and a position working for a train buff. Things become complicated when a ghostly vehicle dubbed the X Train begins to ride the rails, destroying everything in its path. Somehow, it seems that Toru is connected with the X Train by a strange power, which draws the attention of some very dangerous and power hungry people who would wield it for their own... (Source: ANN)"
1974,Glass no Kamen (2005),8.09,"Drama, Shoujo","Two Girls. One Dream. And the entire world for a stage. At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks. For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections. For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part… But for one to win, the other must fail! (Source: Sentai Filmworks)"
1975,Mutekiou Tri-Zenon,6.15,"Mecha, Sci-Fi","During the Edo Period, 3 mysterious space capsules were sent down to earth. Fear that it might bring chaos to the earth, the humans at that time buried these 3 objects down beneath the ground and entrusted a piece of descriptive map to the Kamui family. Today, these 3 objects were awaken one by one. The first to awaken, Tri-Zenon, one of the Zenon Guardians is now driven by the descendant of the Kamui family, Akira Kamui, his brother Ai Kamui and his friend Kanna. Aliens who descend to earth with a purpose will now have to face Tri-Zenon."
1977,Hijikata Toshizou: Shiro no Kiseki,6.2,"Action, Historical, Drama, Samurai","ographical sketch of the life and ideals of Hijikata Toshizou, Vice Commander of the Shinsengumi, fighting to uphold the Shogunate during the Meiji revolution. (Source: ANN)"
1978,Onkyo Seimeitai Noiseman,6.52,"Action, Fantasy, Sci-Fi","The film is set in the distant future in a city called Cahmpon. A scientist creates a synthetic life-form called Noiseman, which erases music from the airwaves by turning it into crystals. A group of Biker street kids rebels against this tyranny. (Source: ANN)"
1979,Tobira wo Akete (1995),6.03,"Dementia, Fantasy","It's bedtime, and Nonoko is about to go to sleep. But the play of light and shadow on those objects on the wall look almost like... a person. (Source: ANN)"
